post_id,title,category,score,num_comments,author,collected_at,engagement,is_popular
47716490,FBI used iPhone notification data to retrieve deleted Signal messages,technology,241,99,01-_-,2026-04-10 20:20:40,0.4090909090909091,True
47704804,How NASA built Artemis II’s fault-tolerant computer,technology,499,190,speckx,2026-04-10 20:20:41,0.38,True
47717587,OpenAI backs Illinois bill that would limit when AI labs can be held liable,technology,311,200,smurda,2026-04-10 20:20:43,0.6410256410256411,True
47708697,"Show HN: QVAC SDK, a universal JavaScript SDK for building local AI applications",technology,18,4,qvac,2026-04-10 20:20:53,0.21052631578947367,False
47678844,Show HN: Marimo pair – Reactive Python notebooks as environments for agents,technology,57,9,manzt,2026-04-10 20:20:56,0.15517241379310345,False
47712656,We've raised $17M to build what comes after Git,technology,222,479,ellieh,2026-04-10 20:20:57,2.1479820627802693,True
47709158,Charcuterie – Visual similarity Unicode explorer,technology,276,64,rickcarlino,2026-04-10 20:21:04,0.23104693140794225,True
47707632,"Instant 1.0, a backend for AI-coded apps",technology,186,92,stopachka,2026-04-10 20:21:08,0.4919786096256685,True
47706141,Research-Driven Agents: When an agent reads before it codes,technology,196,51,hopechong,2026-04-10 20:21:10,0.25888324873096447,True
47674950,An AI robot in my home,technology,61,22,kukanani,2026-04-10 20:21:12,0.3548387096774194,False
47713113,"The Raft consensus algorithm explained through ""Mean Girls"" (2019)",technology,113,25,vermilingua,2026-04-10 20:21:13,0.21929824561403508,False
47718458,Tech job relocation market is recovering. The competition is growing faster,technology,8,0,andrewstetsenko,2026-04-10 20:21:15,0.0,False
47702541,A WebGPU implementation of Augmented Vertex Block Descent,technology,145,22,juretriglav,2026-04-10 20:21:23,0.1506849315068493,False
47689550,"LLM plays an 8-bit Commander X16 game using structured ""smart senses""",technology,26,4,russellharper,2026-04-10 20:21:29,0.14814814814814814,False
47687273,Git commands I run before reading any code,technology,2255,484,grepsedawk,2026-04-10 20:21:34,0.21453900709219859,True
47695666,Show HN: Druids – Build your own software factory,technology,55,12,etherio,2026-04-10 20:21:38,0.21428571428571427,False
47702196,"Show HN: CSS Studio. Design by hand, code by agent",technology,158,97,SirHound,2026-04-10 20:21:39,0.610062893081761,False
47709251,Netflix Prices Went Up Again – I Bought a DVD Player Instead,technology,230,251,speckx,2026-04-10 20:21:51,1.0865800865800865,True
47700972,Reallocating $100/Month Claude Code Spend to Zed and OpenRouter,technology,334,221,kisamoto,2026-04-10 20:21:56,0.6597014925373135,True
47701233,Claude mixes up who said what,technology,443,339,sixhobbits,2026-04-10 20:21:57,0.7635135135135135,True
47660434,C# in Unity 2026: Writing more modern code,technology,76,98,hacker_13,2026-04-10 20:22:05,1.2727272727272727,False
47710782,The Training Example Lie Bracket,technology,30,15,pb1729,2026-04-10 20:22:10,0.4838709677419355,False
47704285,Clean code in the age of coding agents,technology,56,85,yanis_t,2026-04-10 20:22:12,1.4912280701754386,False
47718718,Consumer sentiment plummets to record low as Iran war jacks up inflation,worldnews,13,0,MilnerRoute,2026-04-10 20:22:32,0.0,False
47665890,War on Raze,worldnews,23,14,tosh,2026-04-10 20:22:56,0.5833333333333334,False
47711623,Mexico's President Sheinbaum Decrees Universal Healthcare for 120M,worldnews,50,25,testing22321,2026-04-10 20:24:13,0.49019607843137253,False
47692043,Muse Spark: Scaling towards personal superintelligence,worldnews,390,367,chabons,2026-04-10 20:24:21,0.9386189258312021,True
47677853,GLM-5.1: Towards Long-Horizon Tasks,worldnews,616,262,zixuanlimit,2026-04-10 20:24:40,0.4246353322528363,True
47680124,IPv6 is the only way forward,worldnews,103,321,quaintdev,2026-04-10 20:25:08,3.0865384615384617,False
47676557,Moving fast in hardware: lessons from lab to $100M ARR,worldnews,114,26,rryan,2026-04-10 20:25:19,0.22608695652173913,False
47670981,"Three hundred synths, 3 hardware projects, and one app",worldnews,125,19,ductionist,2026-04-10 20:25:27,0.15079365079365079,False
